Full Name
Jevin West
Linda Steg
Sharad Goel
Molly Crockett
Lisa Anne Hendriks
Stefan Gössling
Joanna Bryson
Tim Althoff
Lauren Brent
Esteban Moro
Jonas L Juul
 Jon Kleinberg
Chloe Ahn
 Xinyi Wang
Giuseppe Russo
 luca verginer
 Manoel Horta Ribeiro
 Giona Casiraghi
Almog Simchon
 Adam Sutton
 Matthew Edwards
 Stephan Lewandowsky
Arianna Pera
 Manuel Vimercati
 Matteo Palmonari
Mohammed Alsobay
 Abdullah Almaatouq
 David G. Rand
 Duncan J. Watts
Sara Venturini
 Satyaki Sikdar
 Francesco Rinaldi
 Francesco Tudisco
 Santo Fortunato
Isabella Loaiza
 Takahiro Yabe
 Alex Pentland
Silvia De Sojo Caso
 Mia Ann Jørgensen
 Sune Lehmann
 Laura Alessandretti
Emil Bakkensen Johansen
 Mathias Wullum Nielsen
Rubén Rodríguez Casañ
 Antonio Ariño Villarroya
Sunny Rai
 Ashley Francisco
 Salvatore Giorgi
 Brenda Curtis
 Lyle Ungar
 Sharath Chandra Guntuku
Allison Koenecke
 Eric Giannella
 Robb Willer
Ziv Epstein
 Hause Lin
Levin Brinkmann
 Bramantyo Supriyatno
 Iyad Rahwan
Sandro Ferreira Sousa
 Vincenzo Nicosia
Marilena Hohmann
 Michele Coscia
Tiancheng Hu
 Yara Kyrychenko
 Sander van der Linden
 Jon Roozenbeek
Nikolaos Nakis
 Abdulkadir Celikkanat
 Louis Boucherie
 Morten Mørup
Corrado Monti
 Jacopo D'Ignazi
 Michele Starnini
 Gianmarco De Francisci Morales
Homa Hosseinmardi
 Sam Wolken
 David Rothschild
 Duncan Watts
Li Zhang
 Isabelle Lorge
 Janet B. Pierrehumbert
 Xiaowen Dong
Melanie Oyarzun
 Carlos Rodriguez-Sickert
 Cristian E Candia
Takahiro Yabe
 Bernardo Garcia Bulle Bueno
 Morgan Ryan Frank
 Alex Pentland
Dingeman Jan Van der Laan
 Edwin De Jonge
 Marjolijn Das
Manoel Horta Ribeiro
 Veniamin Veselovsky
 Robert West
Mark E Whiting
 Duncan J Watts
Marc Sadurní Parera
 Josep Perelló
 Miquel Montero
Jamell Dacon
 Jiliang Tang
Minsu Park
 Chao Yu
 Michael Macy
Kat Albrecht
Nicola Fanton
 Agnieszka Falenska
 Michael Roth
Zeyneb Nahide Kaya
Alexandra Segerberg
 Matteo Magnani
Damian Trilling
 Roeland Dubèl
 Rupert Kiddle
 Anne C. Kroon
 Zilin Lin
 Mónika Simon
 Susan Vermeer
 Kasper Welbers
 Mark Boukes
Sanjay Kairam
Sukankana Chakraborty
 Leonardo Castro-Gonzalez
 Helen Margetts
 Jonathan Bright
Helena Sophia Rauxloh
 Lisa Merten
 Heidi Schulze
 Judith Moeller
 Isabel Lerch
Dylan Thurgood
 Sebastian Stier
Ardon Z. Shorr
 Dafna Yavetz
Simon Martin Breum
 Bojan Kostic
 Michael Szell
Zhuangyuan Fan
 Becky P.Y. Loo
 Ting Lian
 Feiyang Zhang
Massimiliano Luca
 Bruno Lepri
 Antonio Bucchiarone
 Annapaola Marconi
 Simone Centellegher
 Sune Lehmann
 Laura Maria Alessandretti
Surendra Hazarie
 Hugo Barbosa
 Adam Frank
 Ronaldo Menezes
 Gourab Ghoshal
Henrik Wolf
 Ane Rahbek Vierø
 Michael Szell
Nicole Nisbett
 Viktoria Spaiser
Kelton R Minor
 Nick Obradovich
Hannah-Marie Büttner
 Hendrik Meyer
 Patrick Zerrer
Max Falkenberg
 Andrea Baronchelli
Giorgio Tripodi
 Francesco Lamperti
 Andrea mina
 Fabrizio Lillo
 Roberto Mavilia
 Francesca Chiaromonte
 Kristoffer Lind Glavind
 Aaron J. Schwartz
 Christopher Danforth
 Sune Lehmann
 Andreas Bjerre-Nielsen
Michele Tizzani
 Daniela Paolotti
 Pietro Coletti
 Alessandro De Gaetano
 Christopher I Jarvis
 Amy Gimma
 Kerry Wong
 John W Edmunds
 Philippe Beutels
 Niel Hens
Julia Koltai
 Adam Stefkovics
 Anna Sara Ligeti
Marcin Waniek
 Petter Holme
 Katayoun Farrahi
 Remi Emonet
 Manuel Cebrian
 Talal Rahwan
Lorenzo Amir Nemati Fard
 Michele Starnini
 Michele Tizzoni
Alessandro De Gaetano
 Daniela Paolotti
 Daniela Perrotta
 Nicola Perra
 Nicolò Gozzi
 Paolo Bajardi
Ryota Kobayashi
 Yuka Takedomi
 Yuri Nakayama
 Towa Suda
 Takeaki Uno
 Takako Hashimoto
 Masashi Toyoda
 Naoki Yoshinaga
 Masaru Kitsuregawa
 Luis E C Rocha
Katie Spoon
 Isabelle Langrock
 Jack LaViolette
 Marcelo Silva
Kristina Gligoric
 Tiziano Piccardi
 Jake M. Hofman
 Robert West
Renzhe Yu
 Sky CH-Wang
 Zhen Xu
 Zhuojian Wei
Nalette Brodnax
Keyu Zhu
 Nabeel Gillani
 Pascal Van Hentenryck
 Mariana Macedo
 Cristian E Candia
 Cesar A Hidalgo
Juniper L Lovato
 Laurent Hebert-Dufresne
 Jonathan St-Onge
 Randall Harp
 Gabriela Salazar Lopez
 Sean P. Rogers
 Ijaz Ul Haq
 Jeremiah Onaolapo
Guangnan Zhu
 Kateryna Kasianenko
 Shima Saniei
 Uttama Barua
 George Gyamfi
Jana Lasser
 Segun Aroyehun
 Fabio Carella
 David Garcia
