id,publication_year,cited_by_count,author_ids
https://openalex.org/W2741809807,2018,612,"['https://openalex.org/A5048491430', 'https://openalex.org/A5023888391', 'https://openalex.org/A5068542997', 'https://openalex.org/A5045110184', 'https://openalex.org/A5066880338', 'https://openalex.org/A5015414792', 'https://openalex.org/A5062989025', 'https://openalex.org/A5046879461', 'https://openalex.org/A5014077037']"
https://openalex.org/W2066520537,2013,582,"['https://openalex.org/A5046879461', 'https://openalex.org/A5089936841', 'https://openalex.org/A5030114935', 'https://openalex.org/A5039730614', 'https://openalex.org/A5075976880']"
https://openalex.org/W1958739611,2008,346,"['https://openalex.org/A5075976880', 'https://openalex.org/A5046879461', 'https://openalex.org/A5001299329']"
https://openalex.org/W2157547297,2014,296,"['https://openalex.org/A5038697749', 'https://openalex.org/A5061879137', 'https://openalex.org/A5002092845', 'https://openalex.org/A5046879461', 'https://openalex.org/A5034372799']"
https://openalex.org/W3104836124,2017,214,"['https://openalex.org/A5030114935', 'https://openalex.org/A5075976880', 'https://openalex.org/A5039730614', 'https://openalex.org/A5089936841', 'https://openalex.org/A5046879461']"
https://openalex.org/W3148182339,2021,110,"['https://openalex.org/A5046879461', 'https://openalex.org/A5075976880']"
https://openalex.org/W1859177121,2008,194,"['https://openalex.org/A5049359232', 'https://openalex.org/A5046879461', 'https://openalex.org/A5013984786', 'https://openalex.org/A5075976880']"
https://openalex.org/W1993001003,2010,156,"['https://openalex.org/A5046879461', 'https://openalex.org/A5048201939', 'https://openalex.org/A5075976880']"
https://openalex.org/W2332282745,2016,112,"['https://openalex.org/A5046879461', 'https://openalex.org/A5074567757', 'https://openalex.org/A5075976880']"
https://openalex.org/W4283325287,2022,34,"['https://openalex.org/A5029967709', 'https://openalex.org/A5062334356', 'https://openalex.org/A5017612757', 'https://openalex.org/A5003185083', 'https://openalex.org/A5067890045', 'https://openalex.org/A5053945884', 'https://openalex.org/A5045494255', 'https://openalex.org/A5046879461']"
https://openalex.org/W2101950590,2013,73,"['https://openalex.org/A5046879461', 'https://openalex.org/A5068490503', 'https://openalex.org/A5078145131', 'https://openalex.org/A5068936689', 'https://openalex.org/A5075976880']"
https://openalex.org/W2124583515,2014,29,"['https://openalex.org/A5046879461', 'https://openalex.org/A5048201939', 'https://openalex.org/A5075976880']"
https://openalex.org/W4235038322,2017,29,"['https://openalex.org/A5048491430', 'https://openalex.org/A5023888391', 'https://openalex.org/A5068542997', 'https://openalex.org/A5085171399', 'https://openalex.org/A5066880338', 'https://openalex.org/A5015414792', 'https://openalex.org/A5062989025', 'https://openalex.org/A5046879461', 'https://openalex.org/A5014077037']"
https://openalex.org/W3103109037,2017,27,"['https://openalex.org/A5012564810', 'https://openalex.org/A5068008545', 'https://openalex.org/A5046879461']"
https://openalex.org/W4200473088,2021,14,"['https://openalex.org/A5070609145', 'https://openalex.org/A5061724900', 'https://openalex.org/A5053945884', 'https://openalex.org/A5045494255', 'https://openalex.org/A5046879461']"
https://openalex.org/W2965053792,2019,18,"['https://openalex.org/A5075496480', 'https://openalex.org/A5028006917', 'https://openalex.org/A5073216478', 'https://openalex.org/A5046879461']"
https://openalex.org/W2995383582,2019,17,"['https://openalex.org/A5018964666', 'https://openalex.org/A5012564810', 'https://openalex.org/A5046879461', 'https://openalex.org/A5005542430']"
https://openalex.org/W3030763919,2020,14,"['https://openalex.org/A5025028660', 'https://openalex.org/A5012564810', 'https://openalex.org/A5074777044', 'https://openalex.org/A5002603522', 'https://openalex.org/A5043228682', 'https://openalex.org/A5085011940', 'https://openalex.org/A5019933387', 'https://openalex.org/A5046879461']"
https://openalex.org/W4211073039,2021,11,"['https://openalex.org/A5029967709', 'https://openalex.org/A5062334356', 'https://openalex.org/A5017612757', 'https://openalex.org/A5081028196', 'https://openalex.org/A5067890045', 'https://openalex.org/A5053945884', 'https://openalex.org/A5045494255', 'https://openalex.org/A5046879461']"
https://openalex.org/W3030520728,2020,11,"['https://openalex.org/A5025028660', 'https://openalex.org/A5012564810', 'https://openalex.org/A5074777044', 'https://openalex.org/A5002603522', 'https://openalex.org/A5043228682', 'https://openalex.org/A5085011940', 'https://openalex.org/A5019933387', 'https://openalex.org/A5046879461']"
https://openalex.org/W2103599714,2005,2180,"['https://openalex.org/A5020482298', 'https://openalex.org/A5037506201', 'https://openalex.org/A5058178962', 'https://openalex.org/A5012275721']"
